CODIGO|NUMERO|TIPO_LOGRADOURO|DESC_LOGRADOURO|BAIRRO|CIDADE|ESTADO
15405|13050436|R|SEBASTIAO DA SILVA.|CIDADE JARDIM|CAMPINAS|SP
15412|13466130|R|TUPIS|NOVA AMERICANA|AMERICANA|SP
15435|6460050|AL|RIO PRETO|TAMBORE|BARUERI|SP
15442|6460090|AL|JUARI|TAMBORE|BARUERI|SP
15465|4543904|R|Dr. Eduardo Souza Aranha |ITAIM BIBI|SAO PAULO|SP
15465|5477000|AV|DAS NACOES UNIDAS|JD. UNIV. PINHEIROS|SAO PAULO|SP
15472|12245030|AV|NELSON DAVILA,DR|CENTRO|S.JOSE CAMPOS|SP
15495|1451010|R|IGUATEMI|ITAIM BIBI|SAO PAULO|SP
15495|1452000|AV|brig. Faria Lima|PINHEIROS|SAO PAULO|SP
15502|16075705|R| FUND. ORESTES BERTACHINI|CENTRO|ARACATUBA|SP
15532|7700000|R|14 DE DEZEMBRO.|CENTRO|CAIERAS|SP
15555|19900011|R|ARLINDO LUZ,|CENTRO|OURINHOS|SP
15562|3251180|R|SALVADOR MOTA|VILA INDUSTRIAL|SAO PAULO|SP
15569|3115001|AV|PAES DE BARROS|MOOCA|SAO PAULO|SP
15599|2516000|R|ATILIO PIFFER|CASA VERDE|SAO PAULO|SP
15599|2516040|R|PADRE ANTONIO D ANGELO|CASA VERDE|SAO PAULO|SP
15608|6413205|R|ANTONIO SAVIANO|VILA PINDORAMA|BARUERI|SP
15608|6413205|R|ANTONIO SAVIANO, |CRUZ PRETA|BARUERI|SP
15615|4534010|R|JOAQUIM FLORIANO|ITAIM BIBI|SAO PAULO|SP
15629|1411010|R|DE BARAO CAPANEMA|CERQUEIRA CESAR|SAO PAULO|SP
15638|4674110|R|ROQUE GIANGRANDE FILHO, |SANTO AMARO|SAO PAULO|SP
15645|9090521|R|R DAS MONÇOES,|JARDIM|SANTO ANDRE|SP
15653|21235605|AV|BRAS DE PINA|CENTRO|RIO DE JANEIRO|RJ
15653|22775040|R|Vitor Civita|BARRA DA TIJUCA|RIO DE JANEIRO|RJ
15675|1048100|R|CORONEL XAVIER DE TOLEDO|REPUBLICA|SAO PAULO|SP
15675|1152000|R|BARRA FUNDA|BARRA FUNDA|SAO PAULO|SP
15698|13465590|AV|Campos Sales.|VILA JONES|AMERICANA|SP
15698|13472000|R|SÃO GABRIEL.|SAO MANUEL|AMERICANA|SP
15705|3701010|AV|GABRIELA MISTRAL|PENHA DE FRANCA|SAO PAULO|SP
15713|22775040|R|Vitor Civita|BARRA DA TIJUCA|RIO DE JANEIRO|RJ
15735|8790000|R|DOUTOR ARISTEU RIBEIRO DE REZENDE|VILA OLIVEIRA|MOGI DAS CRUZES|SP
15758|5463070|AV|PROFESSOR MANUEL JOSE CHAVES|ALTO DE PINHEIROS|SAO PAULO|SP
15765|6786000|R|VICENTE LEPORACE|JD S JUDAS TADEU |TABOAO DA SERRA|SP
15788|13465150|R|PRESIDENTE VARGAS|VILA PAVAN|AMERICANA|SP
15788|13465690|R|ARGENTINA|JARDIM GIRASSOL|HORTOLANDIA|SP
15871|1310000|AV|PAULISTA|BELA VISTA|SAO PAULO|SP
6158|4552050|R|HELENA|VILA OLIMPIA|SAO PAULO|SP
6691|1321001|R|MARTINIANO DE CARVALHO|BELA VISTA|SAO PAULO|SP
6691|4008030|R|DO LIVRAMENTO|VILA MARIANA|SAO PAULO|SP
6903|1032001|R|BRIGADEIRO TOBIAS|CENTRO|SAO PAULO|SP
6903|1321001|R|MARTINIANO DE CARVALHO|BELA VISTA|SAO PAULO|SP
6910|1230010|R|Dr.Brasilio Machado|CENTRO|S. BERN. CAMPO|SP
6910|1321001|R|MARTINIANO DE CARVALHO|BELA VISTA|SAO PAULO|SP
6924|13202590|R|CARNEIROGAL|CENTRO|JUNDIAI|SP
6924|1321001|R|MARTINIANO DE CARVALHO|BELA VISTA|SAO PAULO|SP
6973|22775040|R|Vitor Civita|BARRA DA TIJUCA|RIO DE JANEIRO|RJ
